gene	name	best_mech	resfam_mech	megares_mech	card_mech	cardisamech
B331-2_scaffold_5565_3	dfrF	Dihydrofolate Reductase		Dihydrofolate Reductase		determinant of diaminopyrimidine resistance,determinant of antibiotic resistance,trimethoprim resistant dihydrofolate reductase dfr,antibiotic target replacement protein,antibiotic resistant dihydrofolate reductase
B331-2_scaffold_37_68	Escherichia coli acrA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,acrA
B331-2_scaffold_2_203	PmrF	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B331-2_scaffold_17_92	MdfA	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B331-2_scaffold_35_55	msrB	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B331-2_scaffold_312_4	emrY	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-2_scaffold_91_51	H-NS	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B331-2_scaffold_289_35	Escherichia coli parC conferring resistance to fluoroquinolone	Quinolone Resis`tance		Quinolone Resis`tance		fluoroquinolone resistant DNA topoisomerase,fluoroquinolone self resistant parC,fluoroquinolone resistant parC,antibiotic resistant DNA topoisomerase subunit parC,determinant of antibiotic resistance,gene involved in self-resistance to antibiotic
B331-2_scaffold_197_3	mel	Efflux	Efflux	Macrolide resistance efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B331-2_scaffold_167_34	Escherichia coli emrE	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,small multidrug resistance (SMR) antibiotic efflux pump,emrE
B331-2_scaffold_2926_4	APH(6)-Id	Phosphotransferase	Phosphotransferase	Aminoglycoside O-phosphotransferases		aminoglycoside phosphotransferase (APH),APH(6),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B331-2_scaffold_5798_3	tetO	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B331-2_scaffold_542_11	mdtN	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-2_scaffold_5246_2	tetQ	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B331-2_scaffold_542_10	mdtO	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-2_scaffold_105_59	cpxA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B331-2_scaffold_3524_6	vanRD	Gene Modulating Resistance	Gene Modulating Resistance	VanD-type regulator		VanS-VanR two-component regulatory system,gene(s) or protein(s) associated with a glycopeptide resistance cluster,vanR
B331-2_scaffold_2_188	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Fosfomycin Transporter			Fosfomycin Transporter	GlpT,antibiotic resistant gene variant or mutant,determinant of antibiotic resistance,determinant of fosfomycin resistance
B331-2_scaffold_2964_2	CfxA2	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CfxA beta-lactamase
B331-2_scaffold_2926_2	sul2	Sulfonamide Resistant Dihydropteroate Synthases		Sulfonamide Resistant Dihydropteroate Synthases		determinant of antibiotic resistance,sulfonamide resistant dihydropteroate synthase,determinant of sulfonamide resistance,sulfonamide resistant sul,antibiotic target replacement protein
B331-2_scaffold_312_6	evgA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B331-2_scaffold_1759_5	sul1	Sulfonamide Resistant Dihydropteroate Synthases		Sulfonamide Resistant Dihydropteroate Synthases		determinant of antibiotic resistance,sulfonamide resistant dihydropteroate synthase,determinant of sulfonamide resistance,sulfonamide resistant sul,antibiotic target replacement protein
B331-2_scaffold_322_8	acrD	Efflux	Efflux	Aminoglycoside efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,determinant of antibiotic resistance
B331-2_scaffold_10303_1	CTX-M-27	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CTX-M beta-lactamase
B331-2_scaffold_45_34	Escherichia coli LamB	Quinolone Resistance	Quinolone Resistance			protein modulating permeability to antibiotic,determinant of antibiotic resistance,gene conferring resistance via absence,Sugar Porin (SP),determinant of tetracycline resistance,determinant of fluoroquinolone resistance
B331-2_scaffold_542_9	mdtP	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_32_146	msrB	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B331-3_scaffold_88_7	AcrE	Efflux	Efflux	Aminoglycoside efflux pumps		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_225_28	kdpE	Gene Modulating Resistance	Gene Modulating Resistance			protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B331-3_scaffold_83_18	Escherichia coli rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B331-3_scaffold_3089_4	vgaC	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,vga,ATP-binding cassette (ABC) antibiotic efflux pump
B331-3_scaffold_51_172	gadW	Gene Modulating Resistance	Gene Modulating Resistance			protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B331-3_scaffold_88_8	AcrS	Gene Modulating Resistance	Gene Modulating Resistance	Aminoglycoside efflux regulator		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B331-3_scaffold_106_96	Escherichia coli parC conferring resistance to fluoroquinolone	Quinolone Resis`tance		Quinolone Resis`tance		fluoroquinolone resistant DNA topoisomerase,fluoroquinolone self resistant parC,fluoroquinolone resistant parC,antibiotic resistant DNA topoisomerase subunit parC,determinant of antibiotic resistance,gene involved in self-resistance to antibiotic
B331-3_scaffold_574_10	cepA beta-lactamase	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,cepA beta-lactamase,class A beta-lactamase
B331-3_scaffold_28_161	YojI	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B331-3_scaffold_1460_11	aadA5	Nucleotidyltransferase	Nucleotidyltransferase	Aminoglycoside O-nucleotidyltransferases		ANT(3'')-Ia,aminoglycoside nucleotidyltransferase (ANT),ANT(3'')
B331-3_scaffold_69_64	MdfA	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B331-3_scaffold_99_58	emrD	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B331-3_scaffold_28_29	mdtA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_99_51	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Fosfomycin Transporter			Fosfomycin Transporter	antibiotic resistant gene variant or mutant,determinant of antibiotic resistance,determinant of fosfomycin resistance,UhpT
B331-3_scaffold_51_169	mdtE	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_9_128	mdtH	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B331-3_scaffold_106_74	TolC	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_51_170	mdtF	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_7641_2	SAT-4	Acetyltransferase		Acetyltransferase		determinant of antibiotic resistance,determinant of resistance to nucleoside antibiotics,streptothricin acetyltransferase (SAT),antibiotic inactivation enzyme
B331-3_scaffold_28_188	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Fosfomycin Transporter			Fosfomycin Transporter	GlpT,antibiotic resistant gene variant or mutant,determinant of antibiotic resistance,determinant of fosfomycin resistance
B331-3_scaffold_242_28	ErmF	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B331-3_scaffold_103_85	CblA-1	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CblA beta-lactamase
B331-3_scaffold_28_30	mdtB	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_28_31	mdtC	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_1836_1	ErmF	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B331-3_scaffold_7641_3	APH(3')-IIIa	Phosphotransferase	Phosphotransferase	Aminoglycoside O-phosphotransferases		aminoglycoside phosphotransferase (APH),APH(3'),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B331-3_scaffold_106_51	bacA	Undecaprenyl Pyrophosphate Phosphatase		Undecaprenyl Pyrophosphate Phosphatase		determinant of resistance to peptide antibiotics,determinant of antibiotic resistance,bacitracin resistance gene,protein(s) conferring antibiotic resistance via molecular bypass,undecaprenyl pyrophosphate related proteins conferring resistance to bacitracin
B331-3_scaffold_317_33	CfxA2	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CfxA beta-lactamase
B331-3_scaffold_143_34	Escherichia coli LamB	Quinolone Resistance	Quinolone Resistance			protein modulating permeability to antibiotic,determinant of antibiotic resistance,gene conferring resistance via absence,Sugar Porin (SP),determinant of tetracycline resistance,determinant of fluoroquinolone resistance
B331-3_scaffold_51_20	CRP	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B331-3_scaffold_469_30	emrY	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_111_47	Escherichia coli emrE	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,small multidrug resistance (SMR) antibiotic efflux pump,emrE
B331-3_scaffold_469_29	emrK	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_366_8	emrA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_88_6	AcrF	Efflux	Efflux	Aminoglycoside efflux pumps		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_199_21	H-NS	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B331-3_scaffold_1313_8	ErmG	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B331-3_scaffold_99_90	mdtL	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B331-3_scaffold_28_180	Escherichia coli gyrA conferring resistance to fluoroquinolones	Quinolone Resistance	Quinolone Resistance	Quinolone Resis`tance		antibiotic resistant DNA topoisomerase subunit,determinant of fluoroquinolone resistance,fluoroquinolone resistant DNA topoisomerase,antibiotic resistant DNA topoisomerase subunit gyrA,fluoroquinolone resistant gyrA
B331-3_scaffold_1313_6	mel	Efflux	Efflux	Macrolide resistance efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B331-3_scaffold_1364_11	tetO	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B331-3_scaffold_56_106	acrD	Efflux	Efflux	Aminoglycoside efflux pumps		efflux pump complex or subunit conferring antibiotic resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,determinant of antibiotic resistance
B331-3_scaffold_112_89	Escherichia coli acrA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,acrA
B331-3_scaffold_9_116	mdtG	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B331-3_scaffold_9_176	mfd	Quinolone Resistance	Quinolone Resistance			quinolone resistance protein (qnr),antibiotic target protection protein,determinant of antibiotic resistance,determinant of fluoroquinolone resistance
B331-3_scaffold_749_2	PmrE	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B331-3_scaffold_1460_12	dfrA17	Dihydrofolate Reductase		Dihydrofolate Reductase		determinant of diaminopyrimidine resistance,determinant of antibiotic resistance,trimethoprim resistant dihydrofolate reductase dfr,antibiotic target replacement protein,antibiotic resistant dihydrofolate reductase
B331-3_scaffold_1579_5	tetQ	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection	Tetracycline resistance ribosomal protection proteins		tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B331-3_scaffold_148_9	mdtP	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_148_11	mdtN	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_1460_1	mphA	Phosphotransferase		Phosphotransferase	Macrolide Phosphotransferase	determinant of macrolide resistance,macrolide phosphotransferase (MPH),macrolide inactivation enzyme,antibiotic inactivation enzyme
B331-3_scaffold_260_9	cpxA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B331-3_scaffold_83_104	leuO	Gene Modulating Resistance	Gene Modulating Resistance			protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B331-3_scaffold_2333_4	APH(3'')-Ib	Phosphotransferase	Phosphotransferase	Aminoglycoside O-phosphotransferases		aminoglycoside phosphotransferase (APH),APH(3''),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B331-3_scaffold_260_10	Escherichia coli CpxR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,CpxR
B331-3_scaffold_186_65	marA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,protein modulating permeability to antibiotic,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B331-3_scaffold_366_7	emrB	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_9|phage|1|35612_17045_49	msbA	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B331-3_scaffold_10327_1	CTX-M-27	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CTX-M beta-lactamase
B331-3_scaffold_1550_4	ErmB	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B331-3_scaffold_28_34	baeR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B331-3_scaffold_1460_9	sul1	Sulfonamide Resistant Dihydropteroate Synthases		Sulfonamide Resistant Dihydropteroate Synthases		determinant of antibiotic resistance,sulfonamide resistant dihydropteroate synthase,determinant of sulfonamide resistance,sulfonamide resistant sul,antibiotic target replacement protein
B331-3_scaffold_2333_3	APH(6)-Id	Phosphotransferase	Phosphotransferase	Aminoglycoside O-phosphotransferases		aminoglycoside phosphotransferase (APH),APH(6),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B331-3_scaffold_148_10	mdtO	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_112_88	acrB	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-3_scaffold_8313_1	tetW	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection			tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B331-3_scaffold_152_11	PmrF	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B331-3_scaffold_4342_1	tet(40)	Efflux	Efflux	Tetracycline resistance ribosomal protection proteins		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B331-3_scaffold_148_44	PmrC	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B331-3_scaffold_2333_5	sul2	Sulfonamide Resistant Dihydropteroate Synthases		Sulfonamide Resistant Dihydropteroate Synthases		determinant of antibiotic resistance,sulfonamide resistant dihydropteroate synthase,determinant of sulfonamide resistance,sulfonamide resistant sul,antibiotic target replacement protein
B331-3_scaffold_366_9	emrR	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B331-3_scaffold_152_12	arnA	Phosphoethanolamine Transferase		Phosphoethanolamine Transferase		phosphoethanolamine transferase conferring colistin resistance,pmr phosphoethanolamine transferase,gene altering cell wall charge,determinant of polymyxin resistance
B331-3_scaffold_12941_1	ErmT	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B331-3_scaffold_469_28	evgA	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B331-3_scaffold_1460_2	Mrx	Phosphotransferase			Macrolide Phosphotransferase	determinant of macrolide resistance,macrolide phosphotransferase (MPH),macrolide inactivation enzyme,antibiotic inactivation enzyme
B331-3_scaffold_1211_3	tetX	Tetracycline Inactivation	Tetracycline Inactivation	Tetracycline inactivation enzymes		determinant of antibiotic resistance,tetracycline inactivation enzyme,determinant of tetracycline resistance,antibiotic inactivation enzyme
B331-4_scaffold_15516_1	ErmB	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B331-4_scaffold_877_28	SAT-4	Acetyltransferase		Acetyltransferase		determinant of antibiotic resistance,determinant of resistance to nucleoside antibiotics,streptothricin acetyltransferase (SAT),antibiotic inactivation enzyme
B331-4_scaffold_91_138	AcrF	Efflux	Efflux	Aminoglycoside efflux pumps		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-4_scaffold_61_64	MdfA	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B331-4_scaffold_78_99	kdpE	Gene Modulating Resistance	Gene Modulating Resistance			protein of two-component regulatory system modulating antibiotic efflux,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B331-4_scaffold_25_161	YojI	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B331-4_scaffold_91_136	AcrS	Gene Modulating Resistance	Gene Modulating Resistance	Aminoglycoside efflux regulator		protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance,process or component of antibiotic biology or chemistry
B331-4_scaffold_49_169	mdtE	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-4_18|phage|217877|253665_16197_1	msbA	Efflux	Efflux			efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance,ATP-binding cassette (ABC) antibiotic efflux pump
B331-4_scaffold_105_86	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Fosfomycin Transporter			Fosfomycin Transporter	antibiotic resistant gene variant or mutant,determinant of antibiotic resistance,determinant of fosfomycin resistance,UhpT
B331-4_scaffold_140_3	tetW	Tetracycline Ribosomal Protection	Tetracycline Ribosomal Protection			tetracycline-resistant ribosomal protection protein,determinant of tetracycline resistance,antibiotic target protection protein,determinant of antibiotic resistance
B331-4_scaffold_25_29	mdtA	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-4_scaffold_877_27	APH(3')-IIIa	Phosphotransferase	Phosphotransferase	Aminoglycoside O-phosphotransferases		aminoglycoside phosphotransferase (APH),APH(3'),determinant of aminoglycoside resistance,antibiotic inactivation enzyme
B331-4_scaffold_612_11	CblA-1	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,class A beta-lactamase,CblA beta-lactamase
B331-4_scaffold_80_61	acrB	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-4_scaffold_3986_3	cepA beta-lactamase	Beta-Lactamase-Class A	Beta-Lactamase-Class A	Class A betalactamases		beta-lactamase,cepA beta-lactamase,class A beta-lactamase
B331-4_scaffold_49_170	mdtF	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-4_scaffold_18_86	mdtG	Efflux	Efflux	Efflux		efflux pump complex or subunit conferring antibiotic resistance,major facilitator superfamily (MFS) antibiotic efflux pump,determinant of antibiotic resistance
B331-4_scaffold_72_127	Escherichia coli rob	Gene Modulating Resistance	Gene Modulating Resistance	Gene Modulating Resistance		rob,protein(s) and two-component regulatory system modulating antibiotic efflux,determinant of antibiotic resistance
B331-4_scaffold_311_28	ErmF	rRNA Methyltransferase	rRNA Methyltransferase	23S rRNA methyltransferases		determinant of lincosamide resistance,23S ribosomal RNA methyltransferase,determinant of macrolide resistance,rRNA methyltransferase conferring antibiotic resistance,determinant of streptogramin resistance,determinant of antibiotic resistance,Erm 23S ribosomal RNA methyltransferase
B331-4_scaffold_1598_9	sul1	Sulfonamide Resistant Dihydropteroate Synthases		Sulfonamide Resistant Dihydropteroate Synthases		determinant of antibiotic resistance,sulfonamide resistant dihydropteroate synthase,determinant of sulfonamide resistance,sulfonamide resistant sul,antibiotic target replacement protein
B331-4_scaffold_26_91	mdtN	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-4_scaffold_25_31	mdtC	Efflux	Efflux	Efflux		subunit of efflux pump conferring antibiotic resistance,efflux pump complex or subunit conferring antibiotic resistance,determinant of antibiotic resistance
B331-4_scaffold_1598_11	aadA5	Nucleotidyltransferase	Nucleotidyltransferase	Aminoglycoside O-nucleotidyltransferases		ANT(3'')-Ia,aminoglycoside nucleotidyltransferase (ANT),ANT(3'')
